,g_sim,g_fit
0,13.5,13.700552
1,13.3,13.9866085
2,11.6,11.584822
3,13.1,13.23719
4,11.1,11.0
5,11.6,11.444516
6,13.3,13.794847
7,11.6,11.529846
8,13.2,13.679691
9,14.2,13.882777
10,11.5,11.270903
11,11.7,11.500139
12,12.4,12.620702
13,15.0,13.511242
14,11.8,11.707739
15,14.0,13.890629
16,13.6,13.685232
17,11.7,11.917241
18,13.7,13.819598
19,11.3,11.231475
20,14.3,13.51275
21,14.1,13.647843
22,14.8,13.522181
23,14.8,14.010092
24,11.9,11.934779
25,12.1,11.979659
26,12.5,13.609877
27,12.1,12.047372
28,13.9,13.894265
29,12.1,12.06668
30,13.9,14.076453
31,13.0,13.936837
32,11.6,11.556177
33,11.4,11.261396
34,12.3,12.148447
35,11.1,11.0
36,12.1,12.1327715
37,13.9,13.872976
38,11.8,11.77409
39,13.4,13.874136
40,13.4,13.961881
41,11.8,11.729839
42,11.2,11.0
43,14.2,13.755865
44,13.2,13.869508
45,12.5,12.443286
46,13.8,13.920668
47,13.2,13.469384
48,11.5,11.496723
49,13.2,13.711326
50,13.6,14.017674
51,12.7,13.835004
52,11.8,11.746929
53,14.2,13.983348
54,11.6,11.445778
55,12.6,13.101132
56,12.1,12.061575
57,11.3,11.297275
58,11.6,11.542399
59,11.2,11.0
60,12.5,12.706147
61,11.0,11.0
62,14.7,13.80546
63,14.2,13.816744
64,11.7,11.741362
65,13.4,13.765807
66,11.4,11.448533
67,13.2,13.796649
68,12.8,12.593412
69,11.7,11.666376
70,13.4,13.987167
71,13.9,13.483976
72,14.6,13.354607
73,14.6,12.923582
74,11.5,11.424156
75,11.7,11.643808
76,14.2,13.780881
77,15.0,14.011911
78,13.8,13.678603
79,12.0,11.969943
80,12.9,13.708333
81,14.0,14.081903
82,14.4,13.852074
83,12.2,12.187399
84,11.5,11.308407
85,11.5,11.370469
86,11.2,11.0
87,12.7,13.421688
88,14.2,13.676104
89,12.2,12.175489
90,11.6,11.0
91,11.8,11.7831545
92,14.7,13.763994
93,11.3,11.302975
94,14.6,13.938218
95,13.1,14.081588
96,12.2,12.090053
97,11.3,11.376187
98,14.2,13.542946
99,13.0,13.932698
100,12.3,12.251038
101,14.1,14.033165
102,13.6,14.044818
103,13.1,13.915609
104,11.1,11.140454
105,14.5,14.00888
106,11.1,11.0
107,11.5,11.459437
108,12.0,11.966268
109,13.2,13.602948
110,14.4,13.642394
111,14.9,13.965656
112,13.9,13.823453
113,14.1,13.826733
114,12.4,12.312913
115,11.4,11.370144
116,11.0,11.506034
117,13.7,13.876002
118,13.6,13.871687
119,14.1,14.101681
120,14.6,14.019302
121,14.5,13.6977005
122,11.5,11.360941
123,12.0,12.048906
124,13.7,13.549481
125,12.0,11.971582
126,12.5,12.405918
127,13.9,13.25811
128,14.4,13.435667
129,13.8,13.998309
130,13.4,13.978719
131,14.7,13.666256
132,14.7,13.854399
133,14.6,13.820121
134,13.7,13.964464
135,13.9,13.743016
136,11.2,11.27962
137,14.6,13.637511
138,11.2,11.171559
139,14.6,13.910139
140,11.4,11.369597
141,13.5,14.0889435
142,11.5,11.355467
143,13.0,13.542607
144,12.5,12.355475
145,15.0,13.997805
146,11.8,11.725955
147,13.6,13.841888
148,13.7,13.662601
149,14.7,14.013346
150,13.7,13.969704
151,13.8,13.941612
152,12.0,12.060747
153,11.6,11.630388
154,12.5,12.455238
155,13.9,13.833399
156,13.5,13.704981
157,12.6,12.995992
158,14.2,13.8039665
159,13.6,13.676149
160,11.4,11.362641
161,13.5,13.827393
162,11.6,11.438712
163,14.7,13.698936
164,14.6,13.9261055
165,12.1,12.104842
166,12.9,13.902401
167,12.6,13.435654
168,12.3,13.514576
169,13.6,13.895275
170,14.7,13.269756
171,11.1,11.0
172,12.9,13.688545
173,14.8,13.874175
174,13.6,13.667863
175,13.4,13.945003
176,14.8,13.790364
177,12.9,13.394478
178,11.3,11.39585
179,11.8,11.732082
180,12.6,13.422787
181,14.6,13.746603
182,11.1,11.0
183,12.0,12.094182
184,12.7,13.142628
185,13.5,13.677935
186,14.4,13.534416
187,12.0,11.976685
188,11.1,11.346399
189,14.8,13.78685
190,12.9,13.751526
191,11.5,11.350418
192,13.9,13.955116
193,12.9,13.774758
194,13.8,14.078114
195,12.9,13.837874
196,11.7,11.719177
197,12.3,12.257226
198,12.1,12.043108
199,13.7,13.5744915
200,12.2,12.184269
201,11.1,11.0
202,13.9,13.643078
203,13.2,13.644402
204,14.3,13.97205
205,11.6,11.6534
206,12.7,13.532283
207,14.2,13.595494
208,12.3,12.173342
209,12.0,11.914201
210,12.5,13.163213
211,14.7,13.608781
212,11.6,11.53065
213,14.3,13.637052
214,11.6,11.482488
215,11.4,11.413218
216,13.7,13.724552
217,12.6,12.404177
218,12.4,12.3257
219,14.1,13.926234
220,11.7,11.583693
221,14.2,13.829605
222,13.8,13.9088745
223,13.7,13.6935215
224,13.8,13.741719
225,11.2,11.048505
226,13.8,13.409716
227,13.5,13.565115
228,14.6,13.904206
229,13.5,13.9153805
230,13.2,13.760323
231,12.3,12.321965
232,13.4,13.43504
233,11.3,11.128
234,14.0,14.017914
235,12.1,12.13076
236,14.9,13.671198
237,12.5,13.132679
238,13.8,13.696677
239,13.1,13.423417
240,11.1,11.290537
