,g_sim,g_fit
0,13.5,13.480284
1,13.3,13.648567
2,11.6,11.511503
3,13.1,13.605474
4,11.1,11.08911
5,11.6,11.502655
6,13.3,13.568457
7,11.6,11.495813
8,13.2,13.575656
9,14.2,13.41032
10,11.5,11.358373
11,11.7,11.532508
12,12.4,13.124895
13,15.0,13.514536
14,11.8,11.678227
15,14.0,13.8409815
16,13.6,13.830435
17,11.7,11.887617
18,13.7,13.801466
19,11.3,11.176388
20,14.3,13.821045
21,14.1,13.6296
22,14.8,13.731953
23,14.8,13.697853
24,11.9,11.940058
25,12.1,12.030347
26,12.5,13.43951
27,12.1,12.032689
28,13.9,13.630085
29,12.1,12.921608
30,13.9,13.732866
31,13.0,13.366248
32,11.6,11.758503
33,11.4,11.274843
34,12.3,12.198725
35,11.1,11.345781
36,12.1,12.297359
37,13.9,13.837284
38,11.8,11.700958
39,13.4,13.712947
40,13.4,13.552509
41,11.8,11.818389
42,11.2,11.0
43,14.2,13.746266
44,13.2,13.64485
45,12.5,12.629305
46,13.8,13.763574
47,13.2,13.612218
48,11.5,11.3801365
49,13.2,13.920633
50,13.6,13.89356
51,12.7,13.803765
52,11.8,11.9719305
53,14.2,13.6880245
54,11.6,11.487951
55,12.6,13.449873
56,12.1,11.970996
57,11.3,11.260894
58,11.6,11.618224
59,11.2,11.224215
60,12.5,13.529731
61,11.0,11.0
62,14.7,13.499804
63,14.2,13.440909
64,11.7,11.7092705
65,13.4,13.768782
66,11.4,11.0
67,13.2,13.661597
68,12.8,13.619849
69,11.7,11.670298
70,13.4,13.453194
71,13.9,13.54698
72,14.6,12.849682
73,14.6,13.7575865
74,11.5,11.500278
75,11.7,11.66671
76,14.2,13.661981
77,15.0,13.663281
78,13.8,13.574747
79,12.0,11.936703
80,12.9,13.537288
81,14.0,13.618174
82,14.4,12.842072
83,12.2,11.99262
84,11.5,11.502691
85,11.5,11.408477
86,11.2,11.149934
87,12.7,13.41708
88,14.2,13.47538
89,12.2,11.966725
90,11.6,11.50389
91,11.8,11.664022
92,14.7,13.709505
93,11.3,11.32862
94,14.6,13.6658535
95,13.1,13.842563
96,12.2,12.027431
97,11.3,11.353605
98,14.2,13.706644
99,13.0,13.650278
100,12.3,12.382943
101,14.1,13.730648
102,13.6,13.767345
103,13.1,13.4145775
104,11.1,11.135529
105,14.5,13.577038
106,11.1,11.0
107,11.5,11.296591
108,12.0,11.961369
109,13.2,13.40848
110,14.4,13.6569195
111,14.9,13.653581
112,13.9,13.539813
113,14.1,13.606435
114,12.4,13.395562
115,11.4,11.108647
116,11.0,11.0
117,13.7,13.24487
118,13.6,13.613004
119,14.1,13.318328
120,14.6,13.582113
121,14.5,13.843851
122,11.5,11.427587
123,12.0,11.927585
124,13.7,13.554241
125,12.0,11.946775
126,12.5,13.459691
